Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
SALMAR;NO0010310956;SALM;"Oslo Børs";NOK;616.00;620.00;608.00;620.00;"28/12/21 16:25";CET;76008;46942923.80
"SALMON EVOLUTION";NO0010892094;SALME;"Oslo Børs";NOK;8.48;8.48;8.32;8.40;"28/12/21 16:25";CET;297034;2485187.63
"SALMONES CAMANCH";CL0002409135;SACAM;"Oslo Børs";NOK;31.20;31.20;31.20;31.20;"28/12/21 14:28";CET;50;1560.00
"SANDNES SPAREBANK";NO0006001007;SADG;"Oslo Børs";NOK;97.80;99.00;97.00;99.00;"28/12/21 16:25";CET;20029;1959805.20
"SAS AB";SE0003366871;SASNO;"Oslo Børs";NOK;1.28;1.287;1.257;1.2695;"28/12/21 16:25";CET;2567715;3264184.40
SATS;NO0010863285;SATS;"Oslo Børs";NOK;20.45;20.45;19.94;20.30;"28/12/21 16:25";CET;193406;3904165.96
SBANKEN;NO0010739402;SBANK;"Oslo Børs";NOK;93.10;93.50;93.10;93.30;"28/12/21 16:25";CET;5990;558567.30
SCANA;NO0003053308;SCANA;"Oslo Børs";NOK;1.54;1.54;1.452;1.464;"28/12/21 16:25";CET;501408;743197.83
SCATEC;NO0010715139;SCATC;"Oslo Børs";NOK;157.80;157.80;151.30;152.15;"28/12/21 16:25";CET;954019;147298831.65
"SCHIBSTED SER. A";NO0003028904;SCHA;"Oslo Børs";NOK;346.40;346.40;339.50;341.10;"28/12/21 16:25";CET;271904;92631360.30
"SCHIBSTED SER. B";NO0010736879;SCHB;"Oslo Børs";NOK;302.80;302.80;297.20;298.20;"28/12/21 16:25";CET;16651;4970616.20
"SD STAND DRILLING";CY0101550917;SDSD;"Oslo Børs";NOK;1.34;1.37;1.328;1.37;"28/12/21 15:47";CET;1184142;1592800.06
"SEABIRD EXPLORAT";CY0101162119;GEG;"Oslo Børs";NOK;3.44;3.635;3.44;3.595;"28/12/21 16:18";CET;104995;375751.67
SEADRILL;BMG7998G1069;SDRL;"Oslo Børs";NOK;1.20;1.246;1.18;1.23;"28/12/21 16:19";CET;1074759;1298367.87
"SEAWAY 7";NO0010893803;SEAW7;"Euronext Growth Oslo";NOK;15.52;15.70;15.22;15.70;"28/12/21 16:25";CET;20756;319998.32
"SELF STORAGE GROUP";NO0010781206;SSG;"Oslo Børs";NOK;35.00;35.40;34.90;35.30;"28/12/21 15:19";CET;7941;278148.00
"SELVAAG BOLIG";NO0010612450;SBO;"Oslo Børs";NOK;51.00;52.00;50.90;52.00;"28/12/21 16:25";CET;50728;2605922.50
"SHELF DRILLING";KYG236271055;SHLF;"Oslo Børs";NOK;7.00;7.39;7.00;7.39;"28/12/21 16:29";CET;731122;5316186.12
"SIEM OFFSHORE";KYG812291253;SIOFF;"Oslo Børs";NOK;3.42;3.57;3.39;3.501;"28/12/21 16:25";CET;859115;2991583.11
"SIKRI HOLDING";NO0010881717;SIKRI;"Euronext Growth Oslo";NOK;111.50;111.50;108.00;108.00;"28/12/21 14:46";CET;8545;946835.00
"SKANDIA GREENPOWER";NO0010931207;SKAND;"Euronext Growth Oslo";NOK;8.30;8.31;8.30;8.31;"28/12/21 12:39";CET;1831;15212.30
"SKITUDE HOLDING";NO0010781560;SKI;"Euronext Growth Oslo";NOK;2.62;2.6895;2.59;2.59;"28/12/21 16:14";CET;76093;200188.38
"SKUE SPAREBANK";NO0006001809;SKUE;"Oslo Børs";NOK;210.00;212.00;210.00;212.00;"28/12/21 10:17";CET;956;201780.00
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;21.20;21.20;20.01;20.97;"28/12/21 16:25";CET;135338;2739628.65
"SMARTOPTICS GROUP";NO0011012502;SMOP;"Euronext Growth Oslo";NOK;10.60;10.60;10.302;10.302;"28/12/21 15:19";CET;5092;52480.79
"SOFTOX SOLUTIONS";NO0010811961;SOFTX;"Euronext Growth Oslo";NOK;57.10;57.10;55.10;55.80;"28/12/21 16:25";CET;31681;1785346.80
"SOGN SPAREBANK";NO0006000603;SOGN;"Oslo Børs";NOK;144.00;144.00;143.00;143.00;"27/12/21 09:35";CET;467;66817.00
"SOLON EIENDOM";NO0003106700;SOLON;"Oslo Børs";NOK;44.00;44.10;44.00;44.10;"28/12/21 16:14";CET;10751;473077.00
"SOLSTAD OFFSHORE";NO0003080608;SOFF;"Oslo Børs";NOK;5.45;5.75;5.42;5.48;"28/12/21 16:25";CET;1532593;8487208.19
"SONANS HOLDING";NO0010927288;SOHO;"Euronext Growth Oslo";NOK;46.00;48.195;46.00;47.98;"28/12/21 16:25";CET;2799;132877.63
"SPARBNK 68 GR NORD";NO0010887110;SB68;"Euronext Growth Oslo";NOK;173.50;174.96;173.50;174.96;"28/12/21 10:40";CET;165;28808.54
"SPAREBANK 1 SMN";NO0006390301;MING;"Oslo Børs";NOK;145.20;147.60;145.20;146.60;"28/12/21 16:25";CET;343656;50476507.60
"SPAREBANK 1 SR-BK";NO0010631567;SRBNK;"Oslo Børs";NOK;129.50;131.30;129.20;131.00;"28/12/21 16:25";CET;237448;30971474.50
"SPAREBANK 1 SØRØ";NO0006000207;SOON;"Oslo Børs";NOK;63.00;64.00;63.00;63.80;"28/12/21 16:25";CET;36923;2352371.00
